sitex,EntrType,NumUnits,AvgUnitsqft,NumResFloors,GrossResSqFt,CondResSqFt,WWR,FndType,Fnd_wtmn_u,Fnd_wtmn_f,FndNotes,BsmtFloorU,wtmn_CeilingU,wtmn_WindowSHGC,wtmn_WindowU,BsmtWallType,BsmtWallNotes,BsmtWallU,BsmtWallR_cont,BsmtWallR_cavt,BsmtWall_masonry,wtmn_GenlWallU,AGWallU_AGMass,AGWallU_MetalFrame,AGWallU_WoodFrame,AGWallU_Other,effunits,mneff,inunithtsys_all,inunithtsys_raw,inunit_heat,inunit_cool,inunitclsys_all,inunitclsys_raw,Ventcentral_YN,Ventinunit_YN,Vent_inuniterv_YN,Vent_inunit_erveff,HVACcentral_YN,Central_Sys,HVACcentral,common_heat,commonhtsys_all,commonhtsys_raw,commonhtothr_raw,common_cool,commonclsys_all,commonclsys_raw,commonclothr_raw,Ventcorridor_YN,Vent_corridorerv_YN,Vent_corridor_erveff,Heat_bsmt_YN,Heat_bsmt_type,Vent_bsmt_YN,Vent_bsmterv_YN,Vent_bsmt_erveff,DHWFuel_central,centraldhweff_avg,centraldhweff_unitsall,centraldhwfuel_all,centralpipeins_all,centralsys_all,centraldhwgalall,centralcircloop_all,DHWFuel_units,inunitdhweff_avg,inunitdhweff_unitsall,inunitdhwsysall,inunitdhwgalall,inunitdhwfuel_all,LPD_unit,HighEffLamps_units,totalwatts_IntPk,LPD_IntPk_common,totalwatts_ExtPk,LPD_ExtPk,totalwatts_ExtNonPk,totalwatts_IntCorridor,LPD_IntCorridor,totalwatts_IntStairwell,LPD_IntStairwell,HVACcommon_YN,HVACunits_YN,DHWcentral_YN,DHWunits_YN,State,statecodeyr,CZ,IECCyr,County,City,BLANK
323052,garden style,12,960,3,11520,11520,0.1298,slab,,0.52,,,0.025,,0.34,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater; Fireplace,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.8615,92,,,1592,0.3685,738,,,,,No,Yes,No,Yes,WA,2012,4C,2009,Pierce,Edgewood,
324022,garden style,20,934,3,18670,18350,0.0985,slab,,0.052,,,0.021,,0.34,,,,,,,0.051666237,,,0.056,,COP,1,elecres,"PTAC, no heat pump",elecres,PTAC,PTAC,"PTAC, no heat pump",No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.4734,92,,,1100,0.0604,1205.2,,,,,No,Yes,No,Yes,WA,2015,5B,,Grant,Moses Lake,
325017,garden style,12,753,2,9034,9034,0.1325,slab,,0.73,,,0.025,,0.37,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.1389,100,,,,,180,,,,,No,Yes,No,Yes,WA,2012,4C,2009,Snohomish,Everett,
328001,common entry,18,1364,3,25227,25357,0.3241,unheatedbsmt,,,,0.03,0.017,0.34,0.29,,,,,,,0.042,,,0.042,,COP,5.01,Split system HP,Mini-split HP,Split system HP,Split system HP,Split system HP,Mini-split HP,No,Yes,Yes,71,No,,,,,,,,,,,Yes,No,0,No,,Yes,No,0,Electricity,0.98,NA; et,Electricity,Yes,Heat pump; Individual water heating tank,400; 82,Yes,,,,,,,0.3009,100,320,0.0393,,,750,90,0.1351,,,No,Yes,Yes,No,WA,2012,4C,2009,Kitsap,Bainbridge Island,
400021,common entry,18,842,3,19408,16662,0.1636,commercialbelow,0.1,0.56,,,0.0277,,0.35,,,,,,,0.05312992,,0.052,,,AFUE,0.965,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Split system AC,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Other; Electric resistance,Air Handler Unit; Make up air unit; NA,PTAC,PTAC,Rooftop unit (RTU); Make-up air unit (MAU),NA,Yes,No,0,No,,No,,,Natural Gas,0.96,et,Natural Gas,Yes,Individual water heating tank,130,Yes,,,,,,,0.4831,100,400,0.2532,,,,786,0.6359,750,2.5338,Yes,Yes,Yes,No,IL,2015,5A,2015,Cook,Chicago,
400040,common entry,6,1289,3,7734,7734,0.276,slab,,0.36,,,0.021,0.26,0.24,,,,,,,0.057,,0.057,,,AFUE,0.97,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Split system AC,Yes,Yes,No,0,No,,,elecres,elecres,Electric resistance,NA,,,,,Yes,No,0,No,,No,,,,,,,,,,,Natural Gas,0.72,uef,Individual water heating tank,50,Natural Gas,0.3227,100,,,,,,,,102,0.2615,Yes,Yes,No,Yes,IL,2015,5A,2015,Cook,Chicago,
400042,common entry,32,550,3,17614,17614,0.1248,slab,0.068,0.52,,,,0.3345,0.304,,,,,,,0.045416503,0.047094283,,,,AFUE,92.1,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Other; Furnace; Electric resistance,MAU Gas Heater; NA,PTAC,PTAC; Split system HP,Make-up air unit (MAU); Other,NA; Condensing Unit,Yes,No,0,No,,No,,,Natural Gas,0.96,et,Natural Gas,Yes,Central boiler for water heating,130,Yes,,,,,,,0.3885,100,,,726,0.1849,,1708,0.4456,1026,2.8033,Yes,Yes,Yes,No,IL,2012,5A,2012,Cook,Chicago,
400043,common entry,32,803,2,38547,38423,0.1327,slab,0.068,0.52,,,0.0197,0.4516,0.3038,,,,,,,0.061468789,,,0.053,,ET,95,gasfurnace,Furnace,gasfurnace,PTAC,PTAC,"PTAC, no heat pump",Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Other; Furnace; Electric resistance,Rooftop Unit; NA,PTAC,PTAC,Rooftop unit (RTU); Other,NA; Condensing Unit,Yes,No,0,No,,No,,,Natural Gas,0.92,et,Natural Gas,Yes,Central boiler for water heating,60,Yes,,,,,,,3.2877,100,,,196.6,0.0229,,2557.2,0.5925,460.8,0.5915,Yes,Yes,Yes,No,IL,2012,5A,2012,Cook,Chicago,
400044,common entry,49,644,3,48040,46728,0.212,slab,0.077,0.36,,,0.0225,0.4247,0.328,,,,,,,0.034398278,0.036,,,,AFUE,0.955,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace; other,Other; Electric resistance,Make Up Air Unit; Air Handling Unit; NA,PTAC,PTAC,Make-up air unit (MAU); Other,NA; Condensing Unit,Yes,No,0,No,,No,,,Natural Gas,0.97,et,Natural Gas,Yes,Central boiler for water heating,100,Yes,,,,,,,0.5243,100,,,1888,0.1636,,1917,0.603,,,Yes,Yes,Yes,No,IL,2015,5A,2015,Cook,Chicago,
400045,common entry,6,1362,3,8557,8557,0.1509,slab,,0.261,,,0.0167,0.5,0.17,,,,,,,0.034,,0.034,,,COP,3.7,Split system HP,Mini-split HP,Split system HP,Split system HP,Split system HP,Mini-split HP,No,Yes,Yes,83,No,,,elecres,elecres,Electric resistance,NA,,,,,Yes,No,0,No,,No,,,,,,,,,,,Natural Gas,0.64,uef,Individual water heating tank,40,Natural Gas,0.293,100,,,,,17,,,102,0.2804,Yes,Yes,No,Yes,IL,2015,5A,2015,Cook,Chicago,
400046,common entry,6,1362,3,8557,8557,0.1696,slab,,0.51,,,0.0167,0.45,0.3101,,,,,,,0.069,,0.069,,,AFUE,0.96,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Other,No,Yes,No,0,No,,,elecres,elecres,Electric resistance,NA,,,,,Yes,No,0,No,,No,,,,,,,,,,,Natural Gas,0.64,uef,Individual water heating tank,40,Natural Gas,0.293,100,,,,,17,,,102,0.2804,Yes,Yes,No,Yes,IL,2015,5A,2015,Cook,Chicago,
400047,common entry,78,797,3,80848,76658,0.3322,heatedbsmt,,0.52,ongrade,0.03,0.0324,,0.3513,,,,,,,0.040868931,,,0.03893323,,AFUE,80,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Furnace; Electric resistance,NA,PTAC,PTAC,Rooftop unit (RTU); Make-up air unit (MAU),NA,Yes,No,0,Yes,elecres,Yes,No,0,Natural Gas,0.97,et,Natural Gas,Yes,Central boiler for water heating,100,No,,,,,,,0.2396,100,4292.4,0.2666,,,,3282,0.485,2016,8.4706,Yes,Yes,Yes,No,IL,2015,5A,2015,Cook,Chicago,
400049,garden style,16,848,2,13854,13854,0.0954,heatedbsmt,,0.55,crawl,0.41,0.03,,0.35,,Typical Foundation Wall Assembly,0.051,None,R19,NA,0.05693785,,,,0.049,COP,3.84,Split system HP; elecres,Mini-split HP; Baseboard,Split system HP,Split system HP,Split system HP,Split System HP,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,Yes,gas fired unit heater,Yes,No,0,Natural Gas,0.94,ef,Natural Gas,Yes,Central boiler for water heating,0,NA,,,,,,,0.3217,100,,,,,,,,,,No,Yes,Yes,No,IL,2012,5A,2012,Cook,Chicago,
400050,common entry,44,517,3,53753,50757,0.3829,commercialbelow,0.068,0.36,,,0.0245,,0.321,,,,,,,0.0399,,0.0399,,,COP,4.09,CENTRALHVAC bldg,Other HP,Split system HP,Split system HP,Split system HP,Split System HP,Yes,Yes,No,0,Yes,VRF,Split system HP,Split system HP,gasboiler; Split system HP,Other; Boiler; Heat pump; Furnace; Electric resistance,Make Up Air Unit; NA,Split system HP,Split system HP,Make-up air unit (MAU); VRF HP terminal; Other,NA; Condensing Unit,Yes,No,0,No,Split System HP,No,,,Natural Gas,0.96,et,Electricity; Natural Gas,Yes,Central boiler for water heating,30; 120,no; yes,,,,,,,0.5812,100,,,4216,0.2982,,2252,0.4524,756,1.6188,Yes,Yes,Yes,No,IL,2012,5A,2012,Cook,Chicago,
400051,common entry,54,511,3,38070,34835,0.2035,unheatedbsmt,,0.52,ongrade,0.03,0.0205,,0.2773,,,,,,,0.029223814,0.027107617,,,,COP,3.17,PTHP,PTHP,PTHP,PTHP,PTHP,PTHP,Yes,Yes,No,0,No,,,gasfurnace,elecres; gasfurnace; Split system HP,Electric resistance; Furnace; Heat pump,NA,Split system HP,Split system HP; PTAC; PTHP,Other; Make-up air unit (MAU); PTHP; Split System HP,Outdoor Condensing Unit; NA,Yes,No,0,No,,No,No,0,Natural Gas,0.94,et,Natural Gas,Yes,Central boiler for water heating,415; 0,Yes,,,,,,,0.4827,100,631.7,0.0941,,,,1907.2,0.559,557.7,3.2806,Yes,Yes,Yes,No,IL,2015,5A,2015,Cook,Chicago,
400052,common entry,18,760,3,15452,14342,0.0782,slab,0.3,0.73,,,0.0263,0.31,0.31,,,,,,,0.052432886,,,0.052432886,,AFUE,80,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Split system AC,No,Yes,No,0,No,,,,,,,,,,,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.91,uef,Individual water heating tank,40,Electricity,0.4004,100,,,,,,,,591.3,1.016,No,Yes,No,Yes,IL,2015,5A,2015,Kane,East Dundee,
400053,common entry,18,657,3,25928,25928,0.1208,heatedbsmt,,0.6,ongrade,0.59,0.0417,0.3,,,,,,,,0.123948748,0.131,,,,COP,1,elecres,"PTAC, no heat pump",elecres,PTAC,PTAC,"PTAC, no heat pump",Yes,Yes,No,0,No,,,gasfurnace,gasfurnace; elecres,Other; Electric resistance,RTU; Gas Fired Heater; NA,PTAC,PTAC,Rooftop unit (RTU),NA,Yes,No,0,Yes,gas fired unit heater,Yes,No,0,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,65,Electricity,0.5799,100,426,0.0911,,,,1078,0.8254,432,0.36,Yes,Yes,No,Yes,IL,2015,5A,2015,Cook,Chicago,
400054,common entry,260,929,3,296356,296356,0.2333,slab,0.588,0.52,,,0.0295,,0.3101,,,,,,,0.062582892,,,0.056,,AFUE,92,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Split system AC,No,Yes,No,0,No,,,gasfurnace,gasfurnace,Other; Furnace; Electric resistance,RTU; NA,,,,,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.93,uef; ef,Individual water heating tank,50; 40; 19,Electricity,0.2896,100,5930,0.0678,,,,11190,0.3367,,,Yes,Yes,No,Yes,IL,2015,5A,2015,Lake,Vernon Hills,
422001,common entry,12,5380,3,17069,16051,0.0544,slab,0.1,0.67,,,0.02,,0.32,,,,,,,0.039784133,,,0.039,,NA,0.945,gasfurnace,Furnace,gasfurnace,PTAC,PTAC,"PTAC, no heat pump",No,Yes,No,0,No,,,,,,,,,,,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,40,Electricity,,,,,,,,2598,7.7321,,,No,Yes,No,Yes,IL,2015,5A,2015,"Grundy, Will",Channahon,
430001,common entry,25,619,3,14323,14323,0.2558,slab,,0.64,,,0.021,0.29,0.27,,,,,,,0.048,,,0.048,,AFUE,0.975,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Split system AC,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace; elecres,Furnace; Electric resistance,NA,,,,,Yes,No,0,No,,No,,,Natural Gas,0.98,et,Natural Gas,Yes,Central boiler for water heating,100,Yes,,,,,,,0.2951,88,,,272,0.0156,169.1,693,0.3462,685.2,0.5797,Yes,Yes,Yes,No,IL,2015,5A,2015,Mchenry,McHenry,
431001,common entry,25,561,3,20287,20287,0.1597,slab,0.068,0.36,,,0.0251,0.3016,0.2767,,,,,,,0.047,,,0.047,,AFUE,96.5,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Other; Furnace; Electric resistance,MAU Gas Heater; NA,PTAC,PTAC; Split system HP,Make-up air unit (MAU); Other,NA; Condensing Unit,Yes,No,0,No,,No,,,Natural Gas,0.98,et,Natural Gas,Yes,Individual water heating tank,100,Yes,,,,,,,0.3556,100,,,636,0.0605,,922.8,0.3414,677.4,1.8408,Yes,Yes,Yes,No,IL,2015,5A,2015,Mchenry,Richmond,
432001,common entry,9,834,3,8569,8569,0.172,unventedcrawlspace,0.085,,,,0.045,0.31,0.27,,,,,,,0.04295162,,,0.041,,COP,1,elecres,"PTAC, no heat pump",elecres,Split system AC,Split system AC,Split system AC,No,Yes,No,0,No,,,,,,,,,,,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50; 40,Electricity,0.247,81,,,,,928,172.5,0.0746,,,No,Yes,No,Yes,IL,2015,5A,2015,Cook,Brookfield,
447001,common entry,40,513,3,31477,31096,0.2061,slab,0.05,0.52,,,0.022,0.45,0.32,,,,,,,0.039845505,,,0.03855496,,NA,#NUM!,CENTRALHVAC bldg,Baseboard,hydronic baseboard (gas boiler),PTAC,PTAC,"PTAC, no heat pump",Yes,Yes,No,0,Yes,gas boiler,hydronic baseboard (gas boiler),gasboiler,gasboiler; other,Boiler; Other,NA; Indoor Air Handler Unit; Cabinet Unit Heaters,Split system HP,Split system HP,Other,Condensing Unit,Yes,No,0,No,,No,,,Natural Gas,0.96,et,Natural Gas,"Docs, visually verified",Individual water heating tank,125,Yes,,,,,,,0.6498,100,,,,,,5112,0.8802,792,0.8,Yes,Yes,Yes,No,IL,2012,5A,2012,Cook,Matteson,
448001,common entry,64,677,3,61074,60120,0.1866,slab,0.05,0.052,,,0.0204,0.28,0.3,,,,,,,0.053390231,,,0.054975261,,AFUE,0.963333333,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Other; Furnace; Electric resistance,MAU Gas Burner; NA,PTAC,PTAC; Split system HP,Make-up air unit (MAU); Other,NA; Condensing Unit,Yes,No,0,No,,No,,,Natural Gas,0.96,ef,Natural Gas,Yes,Central boiler for water heating,0,Yes,,,,,,,0.5155,80,,,662,0.021,,7247,1.0107,368,0.6943,Yes,Yes,Yes,No,IL,2012,5A,2012,Kane,Huntley,
449001,common entry,51,839,2,42815,42815,0.0521,slab,,0.54,,,0.02,,0.3,,,,,,,0.059,,,0.059,,AFUE,97,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Split system AC,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Furnace,F-1; F-2; F-3,Split system HP,Split system HP,Other; NA,CCU-1; CCU-2; CCU-4,Yes,Yes,67.5,No,,No,,,Natural Gas,0.985,et,Natural Gas,Yes,Central boiler for water heating,100,Yes,,,,,,,0.2149,,,,990,0.0354,640,3073,0.4399,432,0.4068,Yes,Yes,Yes,No,IL,2015,5A,2015,Kendall,Yorkville,
500001,common entry,59,790,3,59553,59553,0.2211,heatedbsmt,,,,0.02,0.025,,0.3098,,,,,,,0.034,,,0.034,,AFUE,0.777777778,gasfurnace,Other,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace; elecres,Other; Furnace; Electric resistance,Furnace with dx cooling; QTY x 3 Rooftop unit (RTU) with burner and dx cooling.; Rooftop unit (RTU) with burner and dx cooling; Ductless air conditioner; gas fired unit heater; NA; QTY x 3 All Berko fan heaters,PTAC,PTAC,Other; Rooftop unit (RTU); Split System HP,Furnace with dx cooling; Rooftop unit (RTU) with burner and dx cooling; Ductless air conditioner,Yes,No,0,Yes,gas fired unit heater,Yes,No,0,Natural Gas,0.96,et,Natural Gas,NA,Individual water heating tank,119,NA,,,,,,,0.2873,100,1776,0.0898,1646,0.3091,,2275.8,0.3939,306,0.2694,Yes,Yes,Yes,No,MN,2015,6A,2012,Hennepin,Minneapolis,
500002,common entry,10,695,3,11028,11028,0.1274,heatedbsmt,,0.55,,0.14,0.025,,0.4206,Other,wall below grade,0.039,R15 +,None,Rigid (continuous),0.061,,,0.061,,COP,1,elecres,"PTAC, no heat pump",elecres,PTAC,PTAC,"PTAC, no heat pump",No,Yes,No,0,No,,,elecres,elecres,Electric resistance,NA,,,,,Yes,No,0,Yes,elecres,Yes,No,0,Natural Gas,0.99,et,Natural Gas,Yes,Individual water heating tank,99,Yes,,,,,,,0.2633,100,,,,,345,324,0.5391,90,0.1299,Yes,Yes,Yes,No,MN,2015,6A,2012,Hennepin,Minneapolis,
500003,common entry,71,867,3,102344,102344,0.2193,heatedbsmt,,0.55,,,0.041,,0.3,"Conc.blk,brick",Below Grade Wall - Subfloor/Garage,0.057,R10,None,None,0.055651383,,,0.056,,AFUE,95,elecres; gasfurnace,PTAC; Other,gasfurnace,PTAC,PTAC,PTAC; Other,Yes,Yes,No,0,No,,,elecres,elecres,Other; Furnace; Electric resistance,RTU with burner and dx coil; Fan coils with electric heating and dx cooling; Through Wall Furnace AC Combination; NA; gas fired unit heater,PTAC,PTAC,Other; Split System HP,RTU with burner and dx coil; Fan coils with electric heating and dx cooling; Through Wall Furnace AC Combination; NA,Yes,No,0,Yes,gas fired unit heater,Yes,No,0,Natural Gas,0.95,ef,Natural Gas,Yes,Individual water heating tank,119,Yes,,,,,,,0.2001,100,1976,0.0841,,,,1526,0.2738,796,0.3017,Yes,Yes,Yes,No,MN,2015,6A,2012,Hennepin,Minneapolis,
510001,common entry,60,1000,3,71175,71175,0.2006,heatedbsmt,,0.3,,0.05,0.045,,0.37,,Below grade Walls -parking garage,0.057,None,None,Rigid (continuous),0.077174266,0.08,,,,AFUE,0.936868687,gasfurnace,Furnace,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace; elecres,Furnace; Other; Electric resistance,NA; Direct Fired Make Up Air Unit,Split system HP,Split system HP,Other; Other HP,NA,Yes,No,0,Yes,gas fired unit heater,Yes,No,0,Natural Gas,0.95,et,Natural Gas,Yes,Individual water heating tank,118,Yes,,,,,,,0.2983,94,2400,0.1027,,,,945,0.4776,,,Yes,Yes,Yes,No,MN,2015,6A,2012,Olmstead,Rochester,
510002,common entry,55,678,3,50045,50045,0.1173,slab,,0.67,,,0.022,,0.5,,,,,,,0.063164842,,,0.08,,AFUE,0.946666667,gasfurnace,Furnace,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,elecres,gasfurnace; elecres,Split System HP; Furnace; Electric resistance,NA,Split system HP,Split system HP; Split system AC,Split System HP; Other,NA; Split system AC coil above furnace; Split system fan coil units,Yes,No,0,No,,No,,,Natural Gas,0.99,et,Natural Gas,Yes,Individual water heating tank,119,Yes,,,,,,,0.3491,100,,,,,3556,3814,0.8086,1022,0.4428,Yes,Yes,Yes,No,MN,2015,6A,2012,Olmstead,Rochester,
510003,garden style,16,1587,2,25391,23327,0.1881,slab,,0.7223,,,0.021,,0.29,,,,,,,0.08,,,0.08,,AFUE,0.921,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Other,No,Yes,Yes,,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Natural Gas,0.61,uef,Individual water heating tank,40,Natural Gas,0.3869,100,,,,,,,,,,No,Yes,No,Yes,MN,2015,6A,2012,Olmstead,Rochester,
510004,garden style,16,1587,2,25391,23327,0.1881,slab,,0.7223,,,0.021,,0.31,,,,,,,0.08,,,0.08,,AFUE,0.921,gasfurnace; elecres,Furnace; Wall heater,gasfurnace,Split system AC,Split system AC,Other,No,Yes,Yes,,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Natural Gas,0.61,uef,Individual water heating tank,40,Natural Gas,0.3869,100,,,,,,,,,,No,Yes,No,Yes,MN,2015,6A,2012,Olmstead,Rochester,
511001,common entry,60,976,3,66966,66966,0.1802,heatedbsmt,,0.55,,,0.019,,0.3008,"Conc.blk,filled",CMU - below grade - heated garage,0.133,R10,None,Rigid (continuous),0.074313833,,,0.056,,AFUE,0.934343434,gasfurnace,Other,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace; elecres,Furnace; Other; Electric resistance,NA; Direct-fired makeup air heater,Split system AC,Split system AC; Split system HP,Other,Split System AC; Ductless mini split; NA,Yes,No,0,Yes,gas fired unit heater,Yes,No,0,Natural Gas,0.95,et,Natural Gas,Yes,Individual water heating tank,119,Yes,,,,,,,0.3096,94,4338,0.1915,840,0.0292,,1525,0.2129,612,0.2818,Yes,Yes,Yes,No,MN,2015,6A,2012,Blue Earth,Mankato,
511002,common entry,50,1032,3,63889,63889,0.2251,slab,,0.73,,,0.0333,,0.31,,,,,,,0.056,,,0.056,,AFUE,95,gasfurnace,Other HP,gasfurnace,PTAC,PTAC,Other HP,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Other; Heat pump; Electric resistance,Roof top unit with gas heating and dx cooling; Fan coil with air to air heat pump; split system heat pump; NA,PTAC,PTAC,Other; Heat pump,Roof top unit with gas heating and dx cooling; Fan coil with air to air heat pump; split system heat pump,Yes,No,0,No,,No,,,Natural Gas,0.95,et,Natural Gas,Yes,Individual water heating tank,119,Yes,,,,,,,0.3068,100,,,552,0.0161,329,1905,0.4009,720,0.5797,Yes,Yes,Yes,No,MN,2015,6A,2012,Blue Earth,Mankato,
512001,common entry,60,310,2,35777,35777,0.1632,slab,0.5,0.5,,,0.0214,,0.3772,,,,,,,0.056,,,0.056,,COP,79.15445487,water source HP,Other HP,water source HP,water source HP,water source HP,Other HP,Yes,Yes,No,0,No,,,gasboiler,Split system HP; gasboiler; elecres,Heat pump; Boiler; Other; Furnace; Electric resistance,NA; hot water unit heater; MAU,water source HP,PTHP; water source HP,PTHP; Split System HP; other,NA; cooling tower,Yes,No,0,No,,No,,,Natural Gas,0.95,et,Natural Gas,Yes,Individual water heating tank,236,Yes,,,,,,,0.457,100,256,0.7313,0,0,,2054,0.4609,208,0.2164,Yes,Yes,Yes,No,MN,2015,7A,2012,Beltrami,Bemidji,
512002,common entry,26,476,2,14912,14912,0.1401,slab,,0.32,,,0.02,,0.29,,,,,,,0.05,,,0.05,,NA,#NUM!,CENTRALHVAC bldg,Radiant floor/ceiling; Baseboard,hydronic baseboard (gas boiler),Win AC,Win AC,Portable AC unit,Yes,Yes,No,0,Yes,gas boiler,hydronic baseboard (gas boiler),,,,,,,,,Yes,Yes,64,No,,No,,,Natural Gas,0.97,et,Natural Gas,No,Individual water heating tank,200,No,,,,,,,0.0945,100,,,,,,504,0.2473,,,No,Yes,Yes,No,MN,2015,7A,2012,Beltrami,Bemjidi,
512003,common entry,26,476,2,14912,14912,0.1401,slab,,0.32,,,0.02,,0.37,,,,,,,0.05,,,0.05,,AFUE,0.946666667,CENTRALHVAC bldg,Furnace,hydronic baseboard (gas boiler),Win AC,Win AC,Portable AC unit,Yes,Yes,No,0,Yes,gas boiler,hydronic baseboard (gas boiler),,,,,,,,,Yes,Yes,64,No,,No,,,Natural Gas,0.97,et,Natural Gas,No,Individual water heating tank,200,No,,,,,,,0.1513,100,,,,,,504,0.2473,,,No,Yes,Yes,No,MN,2015,7A,2012,Beltrami,Bemjidi,
515001,common entry,24,673,2,21072,20933,0.1779,slab,,0.36,,,0.025,0.34,0.27,,,,,,,0.039,,,0.039,,AFUE,94,gasfurnace,Furnace,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Other; Furnace; Heat pump; Electric resistance,Furnace with dx coil; NA; split system air conditioning unit,PTAC,PTAC,Other; Heat pump,Furnace with dx coil; split system air conditioning unit,Yes,No,0,No,,No,,,Natural Gas,0.97,et,Natural Gas,Yes,Individual water heating tank,100,Yes,,,,,,,0.1865,100,,,,,627,720,0.3539,642,0.4935,Yes,Yes,Yes,No,MN,2015,6A,2012,Ramsey,St. Paul,
515002,common entry,10,707,2,13770,13770,0.1977,commercialbelow,,0.36,,,0.025,0.34,0.27,,,,,,,0.029,,,0.029,,AFUE,94.33333333,gasfurnace,Other,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Other; Heat pump; Electric resistance,gas fired furnace with cooling unit; split system air conditioning; NA,PTAC,PTAC,Other; Heat pump,gas fired furnace with cooling unit; split system air conditioning,Yes,No,0,No,,No,,,Natural Gas,0.97,et,Natural Gas,Yes,Individual water heating tank,95,Yes,,,,,,,0.182,100,,,287,0.1192,,340,0.3108,204,0.1399,Yes,Yes,Yes,No,MN,2015,6A,2012,Ramsey,St. Paul,
516001,common entry,62,786,3,85052,85052,0.1899,heatedbsmt,,0.55,,,0.021,,0.3003,Concblkw/inserts,Garage Level,0.075,R15 +,None,Rigid (continuous),0.056,,,0.056,,TE,95,gasfurnace,Furnace,gasfurnace,PTAC,PTAC,Other,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace; Split system HP; elecres,Furnace; Other; Heat pump; Electric resistance,Qty x 6; NA; Gas Fired Unit Heaters; Qty x3; Qty x9,Split system HP,Split system HP,Other; Other HP,Condensing Unit; Through Wall Furnace AC Combination; NA,Yes,No,0,Yes,gas fired unit heater,Yes,No,0,Natural Gas,0.969992498,et,Natural Gas,Yes,Individual water heating tank,80,Yes,,,,,,,0.4461,100,3840,0.1969,894,0.046,,4695,0.6342,1102,0.8787,Yes,Yes,Yes,No,MN,2015,6A,2012,Dakota,Lakeville,
